institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
Abilene Christian University,Private,TX,https://www.acu.edu/coronavirus/july-17-2020-campus-return-information.html,Planning for in-person,8/18/2020,TRUE,Symptomatic,FALSE,TRUE,,,,431945603,5204,93253
Academy of Art University,Private,CA,https://www.academyart.edu/academy-of-art-universitys-response-to-covid-19-coronavirus/,Proposing a hybrid model,8/18/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,,10616,
Adelphi University,Private,NY,https://www.adelphi.edu/restart/wp-content/uploads/sites/54/2020/07/Adelphi-University-Restart-Master-Plan.pdf,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,0.33,Vault Health,,188578577,8146,25374
Adrian College,Private,MI,http://adrian.edu/news/ac-president-docking-says-campus-will-be-open-in-fall,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,36705997,1856,22644
Agnes Scott College,Private,GA,https://www.agnesscott.edu/coronavirus/updates/plans-fall-2020.html,Planning for online,8/18/2020,FALSE,No voluntary testing,FALSE,FALSE,0,Unknown,,229425820,1030,240488
Alabama Community College system — all system campuses,Public,AL,https://www.wsfa.com/2020/07/17/alabama-community-college-system-announces-reopening-plans/,,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Bevill State Community College,Public,AL,https://www.bscc.edu/coronavirus,Proposing a hybrid model,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
Alabama Community College system — Bishop State Community College,Public,AL,https://www.bishop.edu/news/accs-announces-fall-2020-plans-for-campus-reopenings,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Calhoun Community College,Public,AL,https://calhoun.edu/coronavirus-information/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Central Alabama Community College,Public,AL,https://www.cacc.edu/covid-19/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Chattahoochee Valley Community College,Public,AL,http://www.cv.edu/response-to-coronavirus-covid-19/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Coastal Alabama Community College,Public,AL,http://www.coastalalabama.edu/coronavirus/,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Drake State Community and Technical College,Public,AL,https://www.drakestate.edu/news/drake-state-announces-the-fall-semester-instructional-plan,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Enterprise State Community College,Public,AL,https://www.escc.edu/2020/07/10/online-hybrid-classes-planned-for-fall-semester-at-escc/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Gadsden State Community College,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Jefferson State Community College,Public,AL,https://www.jeffersonstate.edu/covid-19info/2020-fall-semester-classes/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Lawson State Community College,Public,AL,https://www.lawsonstate.edu/register_now/registration_steps/schedule_options.aspx,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Lurleen B. Wallace Community College,Public,AL,https://www.lbwcc.edu/about-lbwcc/updates,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Northeast Alabama Community College,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Northwest-Shoals Community College,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Reid State Technical College,Public,AL,http://www.rstc.edu/?PN=Pages&amp;SubP=Level1Page&amp;L=0&amp;DivisionID=23841&amp;PageID=39393,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Shelton State Community College,Public,AL,https://www.sheltonstate.edu/about-us/emergency-preparedness/covid-19-coronavirus-information/,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Snead State Community College,Public,AL,http://www.snead.edu,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Southern Union State Community College,Public,AL,https://www.suscc.edu/current-students/fall2020reg.cms,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Trenholm State Community College,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Wallace Community College at Dothan,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Wallace Community College at Selma,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama Community College system — Wallace State Community College,Public,AL,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Alabama State University,Public,AL,https://www.alasu.edu/coronavirus-covid-19-updates,Planning for in-person,7/27/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,"ASU Health, Alabama Department of Public Health (ADPH) and the Montgomery Housing Authority (MHA)",,99638681,4413,21765
Alaska Pacific University,Private,AK,https://www.alaskapacific.edu/campus-reopening-plan/a-healthy-community-environment/#covid,Proposing a hybrid model,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,99505839,502,273368
Albany College of Pharmacy and Health Sciences,Private,NY,https://www.acphs.edu/sites/default/files/images/Campus%20Reopening%20Update%20%23%205%20-%207-17-20_1.pdf,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,51444313,1331,34092
Albion College,Private,MI,https://www.albion.edu/together-safely/health-and-wellness/covid-19-testing,Planning for in-person,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,,Testing Centers of America,,174309623,1533,109148
Albright College,Private,PA,https://www.albright.edu/wp-content/uploads/2020/07/Health-Safety-Plan-phase1-final.pdf,Proposing a hybrid model,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,69325252,1934,34269
Alfred University,Private,NY,https://www.alfred.edu/reopening-plan/fall-2020/faq.cfm,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Alfred University Wellness Center,,129318223,2302,53905
Allan Hancock College,Public,CA,https://www.hancockcollege.edu/news/newsreleases/05-11-2020%20Fall%20Classes.php,Planning for online,7/27/2020,,,,,,,,23513711,11285,3509
Allegheny College,Private,PA,https://tswqo1aqh6e4d9omrzpjqmtw-wpengine.netdna-ssl.com/covid19/files/2020/07/PlansToReopenAlleghenyCollege.pdf,Planning for in-person,7/27/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,,Allegheny College Health Agency,,220835715,1771,128318
Alma College,Private,MI,https://www.alma.edu/return-to-campus/screening-and-testing/,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Wilcox Medical Center and MidMichigan Medical Center - Gratiot,,124001841,1433,79133
American University,Private,DC,https://www.american.edu/coronavirus/upload/au-forward-fall-2020-presentation-final_june16.pdf,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,676430000,14311,52760
Amherst College,Private,MA,https://www.amherst.edu/news/covid-19/community-messages/staying-in-touch/node/773837,Proposing a hybrid model,7/27/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,2,Broad Institute and Harvard,,2377537246,1855,1223642
Andrews University,Private,MI,https://www.andrews.edu/agenda/56384,Planning for in-person,7/27/2020,FALSE,No voluntary testing,TRUE,FALSE,0,Orig3n,,54998281,3407,19869
Angelo State University,Public,TX,https://www.angelo.edu/covid-19/returning-to-campus/health-and-safety.php,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,189276736,10387,24035
Anne Arundel Community College,Public,MD,https://www.thecampuscurrent.com/8993/front-page/showcase/classes-at-start-of-fall-semester-to-be-online/,Planning for online,,,,,,,,,7392389,12886,933
Antioch College,Private,OH,https://antiochcollege.edu/novel-coronavirus/announcement/,Proposing a hybrid model,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,42443583,102,334201
Appalachian Bible College,Private,WV,https://docs.google.com/document/d/16WqgR-mjLp4CMdl_ebS3tD8rJiTBamQ0NXKmiE1zFBM/edit,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,1657650,263,7433
Appalachian State University,Public,NC,https://academicaffairs.appstate.edu/news/answering-your-covid-19-questions-open-letter-faculty-chancellor-everts-and-interim-provost,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,122373964,19108,6551
Aquinas College,Private,MI,https://www.aquinas.edu/resources/saints-together/personal-safety-and-health#screening,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Aquinas College Health Center,,43667525,1758,29327
Arcadia University,Private,PA,https://www.arcadia.edu/arcadias-all-modes-flexibility,Proposing a hybrid model,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,71792000,3662,17618
Arizona State University,Public,AZ,https://www.asu.edu/about/fall-2020#preventive-measures,Proposing a hybrid model,7/27/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,In house CLIA certified lab at the Biodesign Institute,,#N/A,#N/A,#N/A
Arkansas State University,Public,AR,http://www.astate.edu/news/chancellor-damphousse-announces-plans-for-fall-semester,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Arkansas Tech University,Public,AR,https://www.atu.edu/ozark/docs/ATUOzarkRecoveryPlanFinalD06242020.pdf,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,37449458,12101,4263
Asbury University,Private,KY,https://www.asbury.edu/covid19plan/#may04update,Planning for in-person,,,,,,,,,49116604,1940,30413
Ashland University,Private,OH,https://news.ashland.edu/article/fall-2020-stronger-together-safer-together,Planning for in-person,,,,,,,,,45554224,6627,8957
Assumption College,Private,MA,https://vimeo.com/417654418,Considering a range of scenarios,,,,,,,,,108439232,2428,43690
Auburn University,Public,AL,https://ocm.auburn.edu/newsroom/news_articles/2020/05/290930-second-summer-term.php?ref=coronavirus,Planning for in-person,,,,,,,,,771403829,30440,26893
Auburn University at Montgomery,Public,AL,http://www.aum.edu/university-task-force-will-develop-safety-plans-reopening-campus,Planning for in-person,,,,,,,,,51897574,5211,10963
Augsburg University,Private,MN,https://www.augsburg.edu/bold/,Proposing a hybrid model,,,,,,,,,48219731,3419,14828
Augusta University,Public,GA,https://jagwire.augusta.edu/augusta-university-planning-for-safe-reopening-of-campus-in-fall/,Planning for in-person,,,,,,,,,280469910,8458,35350
Augustana College,Private,IL,https://www.augustana.edu/about-us/news/information-statement-regarding-coronavirus,Planning for in-person,,,,,,,,,168133807,2543,63137
Augustana University,Private,SD,http://www.augie.edu/viking-flex-plan-fall-2020,Planning for in-person,,,,,,,,,82070752,2133,42109
Austin College,Private,TX,https://www.austincollege.edu/campus-life/health-services/monitoring-the-coronavirus/,Planning for in-person,,,,,,,,,141754555,1299,103395
Austin Peay State University,Public,TN,https://www.apsu.edu/coronavirus/,Planning for in-person,,,,,,,,,26466248,10954,2997
Averett University,Private,VA,https://www.averett.edu/student-life/campus-security/livesafe/,Planning for in-person,,,,,,,,,25779860,961,28361
Avila University,Private,MO,https://www.avila.edu/user/avila-campus-to-open-for-fall-2020-semester,Planning for in-person,,,,,,,,,10761813,1649,6984
Azusa Pacific University,Private,CA,https://www.apu.edu/covid-19/,Planning for online,8/18/2020,TRUE,Symptomatic,FALSE,FALSE,0,,Unknown,86913981,10095,9505
Babson College,Private,MA,https://entrepreneurship.babson.edu/babson-together-return-campus/,Planning for in-person,8/18/2020,TRUE,Unknown,TRUE,TRUE,1,Broad Institute,,421920139,3357,113786
Bakersfield College,Public,CA,https://www.bakersfieldcollege.edu/covid19,Planning for online,,,,,,,,,12334281,24589,891
Ball State University,Public,IN,https://www.youtube.com/watch?v=ieuOdm6M5t4,Planning for in-person,,,,,,,,,214258093,21884,9668
Bard College,Private,NY,https://www.bard.edu/covid19/,Planning for in-person,,,,,,,,,148116873,2207,59821
Bard College at Simon's Rock,Private,MA,https://simons-rock.edu/early-college/contact-us/offices-and-departments/wellness-center/wellness-center-update-covid19.php,Planning for in-person,,,,,,,,,1099370,396,2735
Barnard College,Private,NY,https://alert.barnard.edu/news/financial-decision-making-and-summer,Considering a range of scenarios,,,,,,,,,345097000,2562,129250
Barry University,Private,FL,http://www.barry.edu/prepare/,Considering a range of scenarios,,,,,,,,,43980904,7186,6400
Bates College,Private,ME,https://www.bates.edu/fall-2020/2020/06/30/fall-2020-announcement/,Planning for in-person,8/18/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,2,Broad Institute,,315579002,1832,176597
Bay Atlantic University,Private,DC,https://bau.edu/News/coronavirus-updates/,Waiting to decide,,,,,,,,,#N/A,#N/A,#N/A
Bay Path University,Private,MA,https://www.baypath.edu/student-life/health-wellness/frequently-asked-questions/,Considering a range of scenarios,,,,,,,,,50579339,3444,16390
Baylor University,Private,TX,https://www.baylor.edu/coronavirus/index.php?id=967403#faq_heading_5520,Proposing a hybrid model,8/3/2020,TRUE,Symptomatic,TRUE,Unknown,,Everlywell,,1310781000,17217,75116
Beacon College,Private,FL,https://www.beaconcollege.edu/beacon-news/2020/04/coronavirus-update-april-17-2020/,Planning for in-person,,,,,,,,,92436,400,253
Belhaven University,Private,MS,https://www.belhaven.edu/coronavirus/Letter-to-students-May.pdf,Planning for in-person,,,,,,,,,6096179,4205,1892
Bellevue College,Public,WA,https://www.bellevuecollege.edu/publicsafety/flu/,Planning for online,,,,,,,,,6775195,13226,627
Belmont Abbey College,Private,NC,https://www.belmontabbeycollege.edu/return2020/,Planning for in-person,,,,,,,,,9209111,1556,6355
Belmont University,Private,TN,http://www.belmont.edu/return/return-to-learning/index.html,Proposing a hybrid model,,,,,,,,,221028145,8260,27639
Beloit College,Private,WI,https://www.beloit.edu/live/blurbs/630-reasons-for-module-based-semester-letter-sent-to,Proposing a hybrid model,,,,,,,,,160932873,1275,115946
Bemidji State University,Public,MN,https://www.bemidjistate.edu/news/2020/06/09/message-to-bsu-students-regarding-fall-2020-semester-plans/,Proposing a hybrid model,,,,,,,,,26440000,5111,6193
Benedictine College,Private,KS,https://www.benedictine.edu/press-room/news/2020/fall-opening-on-campus,Planning for in-person,,,,,,,,,26238608,2124,12843
Bennett College,Private,NC,https://www.bennett.edu/fall-2020/,Planning for online,,,,,,,,,13114789,534,29874
Bennington College,Private,VT,https://www.bennington.edu/bennington-college-fall-2020-plan,Planning for in-person,,,,,,,,,34955284,811,39903
Bentley University,Private,MA, https://www.bentley.edu/backtobentley,Proposing a hybrid model,,,,,,,,,289595000,5460,58398
Berkeley City College,Public,CA,https://alameda.peralta.edu/announcement/coronavirus-update-for-peralta-students-and-employees/,Planning for online,,,,,,,,,,6053,
Berkeley College,Private,NY,https://berkeleycollege.edu/newsroom/2020/06/berkeley-college-to-begin-reopening.html,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Berklee College of Music,Private,MA,https://www.berklee.edu/btb ,Proposing a hybrid model,,,,,,,,,365075720,6963,53358
Bethany College,Private,WV,https://www.bethanywv.edu/about-bethany/bethany-plans-to-resume-on-campus-classes-in-august/,Planning for in-person,,,,,,,,,4959426,891,6917
Bethany College,Private,KS,https://www.bethanylb.edu/coronavirus/,Planning for in-person,,,,,,,,,4959426,891,6917
Bethel College,Private,KS,https://www.bethelks.edu/coronavirus-information,Planning for in-person,,,,,,,,,25114,31,897
Bethel University,Private,MN,https://www.bethel.edu/covid-19/images/5-11-20-covid-19-update.pdf,Planning for in-person,,,,,,,,,3611857,5407,1068
Binghamton University,Public,NY,https://www.binghamton.edu/president/statements.html,Planning for in-person,,,,,,,,,110656967,17768,6472
Biola University,Private,CA,https://www.biola.edu/coronavirus/updates,Planning for online,7/29/2020,Unknown,Unknown,Unknown,Unknown,,,Unknown,154555122,6109,31023
Birmingham-Southern College,Private,AL,https://www.bsc.edu/communications/news/2020/06/Return%20to%20the%20Hilltop%20Plan.html,Planning for in-person,,,,,,,,,56701074,1268,41815
Bloomfield College,Private,NJ,https://bloomfield.edu/campus-life/campus-security/campus-alerts/coronavirus-updates/messages-president-marcheta-p-evans,Considering a range of scenarios,,,,,,,,,15133518,1685,8483
Bloomsburg University,Public,PA,https://bloomu.edu/coronavirus,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Bluffton University,Private,OH,https://www.bluffton.edu/alert/index.aspx,Planning for in-person,,,,,,,,,25253518,770,32007
Bob Jones University,Private,SC,https://today.bju.edu/news/bob-jones-university-to-open-for-in-person-fall-classes/,Planning for in-person,,,,,,,,,15104164,3005,5392
Boise State University,Public,ID,https://www.boisestate.edu/publicsafety-emergencymanagement/2020/05/22/campus-reintegration-plan/,Proposing a hybrid model,,,,,,,,,111337372,25504,6545
Boston College,Private,MA,https://www.bostonglobe.com/2020/05/19/metro/bc-intends-hold-classes-campus/,Planning for in-person,7/26/2020,TRUE,Unknown,TRUE,TRUE,1,analyzed by The Broad Institute,Unknown,2515666637,14720,192521
Boston University,Private,MA,https://www.bu.edu/back2bu/covid-19-testing-tracing/,Proposing a hybrid model,7/28/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,2,In house lab,,2179287000,34657,66757
Bowdoin College,Private,ME,https://www.bowdoin.edu/president/writings-and-addresses/messages-to-the-community/2020/june-22.html,Planning for online,7/28/2020,TRUE,Unknown,TRUE,TRUE,2,,,1628165000,1828,901531
Bowling Green State University,Public,OH,https://www.bgsu.edu/coronavirus/return-to-campus/faq.html,Planning for in-person,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,#N/A,#N/A,#N/A
Bradley University,Private,IL,https://www.bradley.edu/sites/coronavirus/return-to-campus/return-to-work/faq/health-wellness/,Planning for in-person,7/28/2020,TRUE,Unknown,FALSE,TRUE,,,,304403917,5882,53004
Brandeis University,Private,MA,https://www.brandeis.edu/fall-2020/pdfs/task-force-report.pdf,Proposing a hybrid model,7/28/2020,TRUE,Asymptomatic,TRUE,TRUE,2,Broad Institute,,1046386225,5800,154905
Brevard College,Private,NC,https://brevard.edu/covid-19-updates/,Planning for in-person,8/18/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,26877430,702,42595
Brigham Young University,Private,UT,https://www.byu.edu/coronavirus,Proposing a hybrid model,7/27/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
Brookdale Community College,Public,NJ,https://www.brookdalecc.edu/advancement/college-relations/brookdales-response-to-covid-19/,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,2233537,11856,246
Brown University,Private,RI,https://healthy.brown.edu/updates/planning-groups,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,,"University Health Services conducts, Lifespan labs analyzes",Unknown,3603848000,10257,364762
Bryant University,Private,RI,https://covid.bryant.edu/our-health/health-safety,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,TRUE,,,,183756000,3788,47482
Bryn Mawr College,Private,PA,https://www.brynmawr.edu/news/presidents-bryn-mawr-and-haverford-announce-plan-fall-semester,Planning for in-person,,,,,,,,,897236000,1690,518634
Bryn Mawr College,Private,PA,https://www.brynmawr.edu/news/presidents-bryn-mawr-and-haverford-announce-plan-fall-semester,Planning for in-person,,,,,,,,,897236000,1690,518634
Bucknell University,Private,PA,https://www.bucknell.edu/life-bucknell/fall-reopening/students-families/student-health-safety/testing-contact-tracing,Planning for in-person,8/3/2020,TRUE,No voluntary testing,TRUE,TRUE,0.71,,,851309000,3668,225154
Buena Vista University,Private,IA,https://www.bvu.edu/news/bvu-resume-person-classes-fall-2020,Planning for in-person,,,,,,,,,138108162,1846,72270
Buffalo State College,Public,NY,https://coronavirus.buffalostate.edu/president-fall-scenarios-submitted-suny-review,Considering a range of scenarios,,,,,,,,,#N/A,#N/A,#N/A
Butler University,Private,IN,https://www.butler.edu/coronavirus-updates,Planning for in-person,,,,,,,,,235941000,5495,45540
Butte College,Public,CA,http://www.butte.edu/feeds/2020/fall-2020-instruction-updates.html,Proposing a hybrid model,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,4166854,10872,536
BYU - Hawaii,Private,HI,https://news.byuh.edu/byu-hawaii-to-continue-remote-learning-fall-semester,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
Cabrillo College,Public,CA,https://www.cabrillo.edu/covid-19/fall-2020.html,Proposing a hybrid model,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,,,Unknown,22906504,11321,3198
Cabrini University,Private,PA,https://www.cabrini.edu/about/media-hub/news/2020/return-to-campus-fall-2020,Proposing a hybrid model,,,,,,,,,45558371,2285,24003
Caim University,Private,PA,https://cairn.edu/with-a-reopened-campus-on-the-horizon-cairn-releases-its-health-safety-plan/,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
California Baptist University,Private,CA,https://calbaptist.edu/news/cbu_update_coronavirus_1,Proposing a hybrid model,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,,,Unknown,53909340,10486,5541
California College of the Arts,Private,CA,https://portal.cca.edu/thriving/health-wellness/novel-coronavirus-covid19/june-25-2020-cca-return-campus-maximum-impact-minimum-contact/,Proposing a hybrid model,,,,,,,,,34883000,1805,16925
California Institute of Technology,Private,CA,https://coronavirus.caltech.edu/fall-2020-plan,Proposing a hybrid model,7/22/2020,TRUE,Symptomatic,Unknown,FALSE,0,,,2907002000,2233,1301837
California Institute of the Arts,Private,CA,https://calarts.edu/about/news-and-events/newsroom/institute-news/calarts-approach-to-academic-year-2020-21,Planning for online,8/3/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,173336202,1506,103546
California Lutheran University,Private,CA,https://www.callutheran.edu/emergency/#202005031445,Planning for online,,,,,,,,,108839898,4383,26044
California State University — all system campuses,Public,CA,https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest,,,,,,,,,,#N/A,#N/A,#N/A
California State University — Bakersfield,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Channel Islands,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Chico,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Dominguez Hills,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — East Bay,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Fresno State,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Fullerton,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Humboldt,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Long Beach,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Los Angeles,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Maritime Academy,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Monterey Bay,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Northridge,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Polytechnic at Pomona,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Polytechnic at San Luis Obispo,Public,CA,https://coronavirus.calpoly.edu/classes-and-programs,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Sacramento,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — San Bernardino,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — San Diego State University,Public,CA,https://www.sdsu.edu/flex,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — San Francisco State University,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — San José State University,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — San Marcos,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Sonoma State University,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California State University — Stanislaus,Public,CA,,Planning for online,,,,,,,,,#N/A,#N/A,#N/A
California University of Pennsylvania,Public,PA,https://www.calu.edu/news/2020/Cal-U-Responsible-Reopening.aspx,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,24055548,7310,3431
Calvin University,Private,MI,https://calvin.edu/safe-return/,Planning for in-person,7/28/2020,TRUE,Symptomatic,TRUE,Unknown,,Helix Diagnostics,,160768715,3732,41065
Cameron University,Public,OK,https://www.cameron.edu/covid-19/summer-and-fall-2020-classes,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,18679993,4290,5322
Campbell University,Private,NC,https://www.campbell.edu/coronavirus/campbell-ready/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,149440784,6448,21883
Cañada College,Public,CA,https://covid-19.smccd.edu/san-mateo-county-community-college-district-courses-go-mainly-online-for-summer-and-fall-terms/,Planning for online,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
Canisius College,Private,NY,https://www.canisius.edu/canisius-returns-campus/health-and-safety-guidance,Proposing a hybrid model,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,133912454,3244,41822
Cape Cod Community College,Public,MA,https://www.capecod.edu/coronavirus/index.html,Proposing a hybrid model,,,,,,,,,6340868,2996,3306
Cape Fear Community College,Public,NC,https://www.wwaytv3.com/2020/05/29/cfcc-to-resume-in-person-classes-this-fall/,Proposing a hybrid model,,,,,,,,,7826291,8378,1243
Capitol Technological University,Private,MD,https://www.captechu.edu/news-events/letter-president-sims-moving-forward,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Carleton College,Private,MN,https://www.carleton.edu/covid/return-to-campus/#acc2_0,Proposing a hybrid model,8/18/2020,TRUE,Unknown,TRUE,TRUE,,,,878493998,2097,440127
Carlow University,Private,PA,https://www.carlow.edu/coronavirus_05-29-2020.aspx,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,31308302,2076,18395
Carnegie Mellon University,Private,PA,https://www.cmu.edu/coronavirus/health-and-wellness/index.html#student-guidance,Proposing a hybrid model,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,1872190873,14029,139539
Carroll College,Private,MT,https://www.carroll.edu/faq/covid-19,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,56227500,1335,42086
Carroll University,Private,WI,https://www.carrollu.edu/coronavirus/comeback-plan,Planning for in-person,7/28/2020,TRUE,Symptomatic,TRUE,FALSE,0,,,62142912,3352,18155
Carthage College,Private,WI,https://www.carthage.edu/carthage-covid-19/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,108980136,2872,33688
Case Western Reserve University,Private,OH,https://case.edu/studentlife/healthcounseling/health-serviceshealth-updatescovid-19-campus-communications/april-9-message-facultystaff-commencement-summer-and-fall,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,1886761000,11890,175089
Castleton University,Public,VT,https://www.castleton.edu/covid-19-coronavirus-updates/a-message-from-the-president-covid-19-update-june-10-2020/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,,2196,
Catholic University of America,Private,DC,https://communications.catholic.edu/coronavirus/index.html,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
