institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
University of Arkansas — all system campuses,Public,AR,https://www.uasys.edu/wp-content/uploads/sites/16/2020/05/BOT-5.4.20news-1.pdf,,,,,,,,,,#N/A,#N/A,#N/A
University of Arkansas at Fayetteville,Public,AR,,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Arkansas at Fort Smith,Public,AR,,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Arkansas at Little Rock,Public,AR,,Planning for in-person,,,,,,,,,80828816,10515,9525
University of Arkansas at Monticello,Public,AR,http://www.uamont.edu/news/2020/jul/01/uam-releases-fall-reopening-plan/,Planning for in-person,,,,,,,,,3409236,3111,1187
University of Arkansas at Pine Bluff,Public,AR,https://uapbnews.wordpress.com/2020/07/16/uapb-makes-plans-to-start-fall-semester-with-adjusted-schedule/,Proposing a hybrid model,,,,,,,,,3919922,2579,1577
University of Bridgeport,Private,CT,https://www.bridgeport.edu/covid-19/announcements,Planning for in-person,,,,,,,,,34028000,5485,7614
University of California at Merced,Public,CA,https://doyourpart.ucmerced.edu/sites/doyourpart.ucmerced.edu/files/documents/monday_final_vx_public_health_work_group_update.pdf,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,,UCSF and UCD,,#N/A,#N/A,#N/A
University of California at Berkeley,Public,CA,https://sa.berkeley.edu/covid19/Fall2020,Planning for in-person,7/25/2020,TRUE,Symptomatic,Unknown,Unknown,,"University Health Services, Innovative Genomics Institute",,#N/A,#N/A,#N/A
University of California at Davis,Public,CA,https://health.ucdavis.edu/coronavirus/coronavirus-testing.html,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,UCD Health and Sacramento County Public Health,,#N/A,#N/A,#N/A
University of California at Irvine,Public,CA,https://uci.edu/coronavirus/faq/index.php#returning,Planning for online,8/2/2020,TRUE,Symptomatic,FALSE,FALSE,0,Quest,,#N/A,#N/A,#N/A
University of California at Los Angeles,Public,CA,https://www.latimes.com/california/story/2020-06-15/ucla-fall-plan,Planning for online,7/26/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of California at Riverside,Public,CA,https://ehs.ucr.edu/coronavirus/faq_students#what_is_the_availability_of_covid19_testing_on_campus,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Quest,,#N/A,#N/A,#N/A
University of California at San Diego,Public,CA,https://coronavirus.ucsd.edu/#current-status,Proposing a hybrid model,7/26/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,0.25,UCSD Health,,#N/A,#N/A,#N/A
University of California at Santa Barbara,Public,CA,http://studenthealth.sa.ucsb.edu/docs/default-source/covid-19/shs-covid-testing-options_20200722.pdf?sfvrsn=d990f4ab_2,Proposing a hybrid model,8/2/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of California at Santa Cruz,Public,CA,https://news.ucsc.edu/2020/06/covid-19-recovery-and-resiliency-planning-update.html,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Molecular Diagnostic Lab and Student Health Center,,#N/A,#N/A,#N/A
University of Central Arkansas,Public,AR,https://uca.edu/coronavirus/students/,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,Arkansas Department of Health and UCA Student Health Clinic,,35636871,11177,3468
University of Central Florida,Public,FL,https://www.ucf.edu/coronavirus/florida-board-of-governors-approves-ucfs-reopening-plan-for-fall-2020/,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,FALSE,0,Florida Dep of Health,,161573513,68475,2844
University of Central Missouri,Public,MO,https://www.ucmo.edu/news/media-resources/return-to-campus-guide/,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,University Health Center,,45400884,11487,4587
University of Central Oklahoma,Public,OK,https://www.uco.edu/files/fall2020plan.pdf,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,35388633,15393,2788
University of Charleston,Private,WV,https://www.ucwv.edu/wp-content/uploads/2020/06/UC-Fall-2020-Return-to-Campus-Plan-June-19-2020.pdf,Planning for in-person,7/27/2020,TRUE,Symptomatic,TRUE,FALSE,0,Charleston Area Medical Center,,43985285,2623,18512
