NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
5501770,Elmbrook School District,WI,"7,334",9/1/20,Hybrid/Partial,9/1/20,"<a href=""https://www.elmbrookschools.org/"" target=""_blank"">🔗</a>"
2711820,Farmington Public School District,MN,"7,313",9/3/20,Hybrid/Partial,9/3/20,"<a href=""https://www.farmington.k12.mn.us/cms/One.aspx?portalId=116138&pageId=49961804"" target=""_blank"">🔗</a>"
4702100,Jefferson County,TN,"7,225",8/7/20,Full in-person reopening available for all students,8/7/20,"<a href=""https://www.jc-tn.net/reopening"" target=""_blank"">🔗</a>"
1726400,Moline-Coal Valley Cusd 40,IL,"7,244",8/25/20,Hybrid/Partial,8/24/20,"<a href=""https://www.molineschools.org/"" target=""_blank"">🔗</a>"
5308040,Snoqualmie Valley School District,WA,"7,214",9/1/20,Remote learning only,8/31/20,"<a href=""https://www.svsd410.org/"" target=""_blank"">🔗</a>"
5515990,Wauwatosa School District,WI,"7,219",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.wauwatosa.k12.wi.us/Page/1"" target=""_blank"">🔗</a>"
2005580,Dodge City,KS,"7,179",8/25/20,Full in-person reopening available for all students,8/25/20,"<a href=""https://www.usd443.org/31093?articleID=56871"" target=""_blank"">🔗</a>"
0102700,Phenix City,AL,"7,146",8/17/20,Hybrid/Partial,8/17/20,"<a href=""https://www.pcboe.net/domain/575"" target=""_blank"">🔗</a>"
2504770,Everett,MA,"7,107",9/15/20,Remote learning only,9/15/20,"<a href=""https://www.everettpublicschools.org/"" target=""_blank"">🔗</a>"
5504680,Fond Du Lac School District,WI,"7,100",9/1/20,Hybrid/Partial,9/1/20,"<a href=""https://www.fonddulac.k12.wi.us/20-21schoolyear.aspx"" target=""_blank"">🔗</a>"
4223640,Tredyffrin-Easttown Sd,PA,"7,058",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.tesd.net/Page/16600"" target=""_blank"">🔗</a>"
3904823,Washington Local,OH,"7,054",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.wls4kids.org/District/"" target=""_blank"">🔗</a>"
2802550,Lee County School District,MS,"6,902",8/25/20,Full in-person reopening available for all students,8/6/20,"<a href=""http://www.leecountyschools.us/"" target=""_blank"">🔗</a>"
4222770,State College Area Sd,PA,"6,888",8/26/20,Hybrid/Partial,8/26/20,"<a href=""https://sites.google.com/scasd.org/back-to-school-2020-21/new-synchronous-in-school-and-remote?authuser=0"" target=""_blank"">🔗</a>"
2803480,Pascagoula-Gautier School District,MS,"6,866",8/25/20,Full in-person reopening available for all students,8/10/20,"<a href=""https://www.pgsd.ms/apps/pages/index.jsp?uREC_ID=1101716&type=d&pREC_ID=1850008"" target=""_blank"">🔗</a>"
2400720,Worcester County Public Schools,MD,"6,810",9/9/20,Remote learning only,9/8/20,"<a href=""http://www.worcesterk12.org/"" target=""_blank"">🔗</a>"
2309930,Portland Public Schools,ME,"6,770",9/15/20,Hybrid/Partial,9/14/20,"<a href=""https://www.portlandschools.org/c_o_v_i_d-19"" target=""_blank"">🔗</a>"
3408220,Lakewood Township School District,NJ,"6,767",9/8/20,Full in-person reopening available for all students,9/4/20,"<a href=""https://www.lakewoodpiners.org/"" target=""_blank"">🔗</a>"
3410560,Montclair Public School District,NJ,"6,767",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.montclair.k12.nj.us/"" target=""_blank"">🔗</a>"
2708100,Centennial Public School District,MN,"6,740",9/10/20,Hybrid/Partial,9/8/20,"<a href=""https://www.isd12.org/covid-19-information/planning-2020-2021-school-year"" target=""_blank"">🔗</a>"
1302430,Gordon County,GA,"6,671",8/20/20,Full in-person reopening available for all students,8/12/20,"<a href=""https://www.gcbe.org/site/Default.aspx?PageID=10022"" target=""_blank"">🔗</a>"
3417610,West Orange,NJ,"6,696",9/14/20,Remote learning only,9/14/20,"<a href=""https://www.woboe.org/"" target=""_blank"">🔗</a>"
1803930,Goshen Community Schools,IN,"6,606",8/18/20,Remote learning only,8/11/20,"<a href=""https://www.goshenschools.org/"" target=""_blank"">🔗</a>"
5510830,Oak Creek-Franklin Joint School District,WI,"6,604",9/1/20,Remote learning only,9/1/20,"<a href=""https://www.ocfsd.org/parents/coronavirus"" target=""_blank"">🔗</a>"
3630780,West Seneca Central School District,NY,"6,587",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.wscschools.org/"" target=""_blank"">🔗</a>"
0600025,Manhattan Beach Unfied,CA,"6,583",8/26/20,Remote learning only,8/26/20,"<a href=""https://www.mbusd.org/"" target=""_blank"">🔗</a>"
4211580,Harrisburg City Sd,PA,"6,540",8/31/20,Remote learning only,8/31/20,"<a href=""http://www.hbgsd.k12.pa.us/"" target=""_blank"">🔗</a>"
2801710,Gulfport School Dist,MS,"6,487",8/25/20,Full in-person reopening available for all students,8/6/20,"<a href=""https://www.gulfportschools.org/"" target=""_blank"">🔗</a>"
4700090,Anderson County,TN,"6,481",8/10/20,Hybrid/Partial,8/10/20,"<a href=""https://www.acs.ac/Domain/4"" target=""_blank"">🔗</a>"
1718240,Harlem Ud 122,IL,"6,451",9/9/20,Full in-person reopening available for all students,9/8/20,"<a href=""https://www.harlem122.org/"" target=""_blank"">🔗</a>"
4900600,Murray District,UT,"6,388",8/17/20,Hybrid/Partial,8/17/20,"<a href=""https://www.murrayschools.org/"" target=""_blank"">🔗</a>"
4028680,Stillwater,OK,"6,352",8/25/20,Full in-person reopening available for all students,8/20/20,"<a href=""https://sites.google.com/stillwaterschools.com/backtoschool2020"" target=""_blank"">🔗</a>"
2003200,Auburn Washburn,KS,"6,318",8/27/20,Hybrid/Partial,8/27/20,"<a href=""http://usd437.net/"" target=""_blank"">🔗</a>"
2802430,Lauderdale Co School Dist,MS,"6,283",8/25/20,Hybrid/Partial,8/10/20,"<a href=""https://www.lauderdale.k12.ms.us/apps/pages/index.jsp?uREC_ID=1804378&type=d&pREC_ID=1971554"" target=""_blank"">🔗</a>"
1734410,Rock Island Sd 41,IL,"6,259",8/6/20,Remote learning only,8/6/20,"<a href=""https://www.rimsd41.org/"" target=""_blank"">🔗</a>"
4812780,Canutillo Isd,TX,"6,246",8/17/20,Remote learning only,8/17/20,"<a href=""http://www.canutillo-isd.org/news/what_s_new/2020-2021_school_year"" target=""_blank"">🔗</a>"
2800630,Biloxi Public School Dist,MS,"6,243",8/25/20,Full in-person reopening available for all students,8/5/20,"<a href=""https://www.biloxischools.net/"" target=""_blank"">🔗</a>"
2510770,Shrewsbury,MA,"6,207",9/15/20,Hybrid/Partial,9/15/20,"<a href=""https://schools.shrewsburyma.gov/"" target=""_blank"">🔗</a>"
1305430,Ware County,GA,"6,153",8/17/20,Full in-person reopening available for all students,8/17/20,"<a href=""https://www.ware.k12.ga.us/o/ware-county-school-district"" target=""_blank"">🔗</a>"
2712270,Forest Lake Public School District,MN,"6,148",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.flaschools.org/"" target=""_blank"">🔗</a>"
3904493,Upper Arlington City,OH,"6,132",8/19/20,Remote learning only,8/19/20,"<a href=""https://www.uaschools.org/protected/ArticleView.aspx?iid=5IAGU0&dasi=32UY"" target=""_blank"">🔗</a>"
2503540,Chelsea,MA,"6,088",9/17/20,Remote learning only,9/16/20,"<a href=""https://www.chelseaschools.com/"" target=""_blank"">🔗</a>"
4226580,Wilson Sd,PA,"6,084",8/26/20,Hybrid/Partial,8/26/20,"<a href=""https://www.wilsonsd.org/welcome-back-video-2020-2021/"" target=""_blank"">🔗</a>"
2923700,Pattonville R-iii,MO,"6,056",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.psdr3.org/"" target=""_blank"">🔗</a>"
3904697,Groveport Madison Local,OH,"6,040",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.gocruisers.org/backtoschool2020.aspx"" target=""_blank"">🔗</a>"
3411490,North Brunswick Township School District,NJ,"5,983",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.nbtschools.org/"" target=""_blank"">🔗</a>"
4003630,Bartlesville,OK,"5,971",8/13/20,Full in-person reopening available for all students,8/13/20,"<a href=""http://www.bps-ok.org/"" target=""_blank"">🔗</a>"
1201830,Suwannee,FL,"5,959",8/12/20,Full in-person reopening available for all students,8/10/20,"<a href=""https://digitalbell-bucket.s3.amazonaws.com/38851408-5056-907D-8DBD-4885DCFF77EB.pdf"" target=""_blank"">🔗</a>"
2201530,St. John The Baptist Parish,LA,"5,940",9/3/20,Remote learning only,9/3/20,"<a href=""https://www.stjohn.k12.la.us/apps/pages/strongstart"" target=""_blank"">🔗</a>"
2501980,Arlington,MA,"5,939",9/1/20,Hybrid/Partial,9/21/20,"<a href=""http://www.arlington.k12.ma.us/home/default.asp"" target=""_blank"">🔗</a>"
3621000,North Colonie Csd,NY,"5,844",9/15/20,Hybrid/Partial,9/14/20,"<a href=""https://www.northcolonie.org/reopening-our-schools-updates-information/"" target=""_blank"">🔗</a>"
2400180,Caroline County Public Schools,MD,"5,829",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.carolineschools.org/"" target=""_blank"">🔗</a>"
3624900,Rome City School District,NY,"5,797",9/14/20,Remote learning only,9/14/20,"<a href=""https://www.romecsd.org/news_page/a_message_from_the_superintendent"" target=""_blank"">🔗</a>"
2200810,Jefferson Davis Parish,LA,"5,784",8/19/20,Hybrid/Partial,8/17/20,"<a href=""https://www.jeffersondavis.org/"" target=""_blank"">🔗</a>"
4700690,Cleveland City Schools,TN,"5,762",8/10/20,Full in-person reopening available for all students,8/10/20,"<a href=""https://www.clevelandschools.org/"" target=""_blank"">🔗</a>"
1907860,College Comm School District,IA,"5,761",8/31/20,Hybrid/Partial,8/31/20,"<a href=""http://www.prairiepride.org/"" target=""_blank"">🔗</a>"
4502610,Laurens 55,SC,"5,755",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.laurens55.org/"" target=""_blank"">🔗</a>"
2632310,Southfield Public School District,MI,"5,738",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.southfieldk12.org/district/return-to-school/"" target=""_blank"">🔗</a>"
1001620,Smyrna School District,DE,"5,691",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.smyrna.k12.de.us/"" target=""_blank"">🔗</a>"
0804260,Roaring Fork School District NO. Re-1,CO,"5,687",8/19/20,Remote learning only,8/17/20,"<a href=""https://www.rfsd.org/"" target=""_blank"">🔗</a>"
5400690,Logan County Schools,WV,"5,644",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://boe.logan.k12.wv.us/announcements/logan-county-schools-re-entry-plan/"" target=""_blank"">🔗</a>"
2307320,Lewiston Public Schools,ME,"5,566",9/15/20,Hybrid/Partial,9/14/20,"<a href=""https://www.lewistonpublicschools.org/"" target=""_blank"">🔗</a>"
4216110,Mt Lebanon Sd,PA,"5,521",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.mtlsd.org/"" target=""_blank"">🔗</a>"
3003900,Billings H S,MT,"5,505",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.billingsschools.org/"" target=""_blank"">🔗</a>"
3623580,Port Washington Union Free School District,NY,"5,499",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.portnet.org/"" target=""_blank"">🔗</a>"
0401380,Buckeye Elementary District (4269),AZ,"5,492",8/14/20,Remote learning only,8/5/20,"<a href=""https://besd33.org/"" target=""_blank"">🔗</a>"
3171220,Gretna Public Schools,NE,"5,492",8/13/20,Full in-person reopening available for all students,8/13/20,"<a href=""https://www.gpsne.org/"" target=""_blank"">🔗</a>"
2617910,Hartland Consolidated Schools,MI,"5,482",8/27/20,Hybrid/Partial,8/19/20,"<a href=""http://www.hartlandschools.us/COVID-19/"" target=""_blank"">🔗</a>"
2635820,West Bloomfield School District,MI,"5,463",8/26/20,Remote learning only,8/26/20,"<a href=""https://www.wbsd.org/"" target=""_blank"">🔗</a>"
2509630,Pittsfield,MA,"5,429",9/15/20,Remote learning only,9/15/20,"<a href=""http://www.pittsfield.net/"" target=""_blank"">🔗</a>"
3407890,Kearny,NJ,"5,414",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.kearnyschools.com/Page/2665"" target=""_blank"">🔗</a>"
0400001,Cave Creek Unified District (4244),AZ,"5,406",9/8/20,Remote learning only,8/5/20,"<a href=""https://www.ccusd93.org/"" target=""_blank"">🔗</a>"
3615570,Ithaca City School District,NY,"5,392",9/14/20,Remote learning only,9/14/20,"<a href=""https://www.ithacacityschools.org/reopen"" target=""_blank"">🔗</a>"
3200360,Nye County School District,NV,"5,367",8/24/20,Hybrid/Partial,8/24/20,"<a href=""https://www.nye.k12.nv.us/"" target=""_blank"">🔗</a>"
1601920,Madison District,ID,"5,334",8/26/20,Full in-person reopening available for all students,8/26/20,"<a href=""https://www.msd321.com/News/back-to-school#sthash.NLt8RHgo.dpbs"" target=""_blank"">🔗</a>"
2616410,Grand Ledge Public Schools,MI,"5,328",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.glcomets.net/"" target=""_blank"">🔗</a>"
4702700,Maryville,TN,"5,364",7/30/20,Hybrid/Partial,7/30/20,"<a href=""https://www.maryville-schools.org/central-office/coordinated-school-health/covid-19-coronavirus"" target=""_blank"">🔗</a>"
1706480,Bloomington Sd 87,IL,"5,327",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.district87.org/domain/2063"" target=""_blank"">🔗</a>"
3904379,Cleveland Heights-University Heights City,OH,"5,286",9/2/20,Remote learning only,9/2/20,"<a href=""https://www.chuh.org/"" target=""_blank"">🔗</a>"
5510890,Oconomowoc Area School District,WI,"5,272",9/1/20,Hybrid/Partial,9/1/20,"<a href=""https://www.oasd.org/page.cfm?p=9051"" target=""_blank"">🔗</a>"
2802910,Meridian Public Schools,MS,"5,232",8/17/20,Remote learning only,8/10/20,"<a href=""https://www.mpsdk12.net/domain/196"" target=""_blank"">🔗</a>"
2742270,West St. Paul-Mendota Hts.-Eagan,MN,"5,222",9/15/20,Remote learning only,9/14/20,"<a href=""https://www.isd197.org/"" target=""_blank"">🔗</a>"
3410810,Morris School District,NJ,"5,216",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.morrisschooldistrict.org/district/msd-forward-reopening-our-schools"" target=""_blank"">🔗</a>"
4219470,Colonial Sd,PA,"5,121",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.colonialsd.org/"" target=""_blank"">🔗</a>"
4205010,Carlisle Area Sd,PA,"5,091",9/11/20,Hybrid/Partial,9/8/20,"<a href=""https://www.carlisleschools.org/"" target=""_blank"">🔗</a>"
1200750,Hardee,FL,"5,080",8/18/20,Full in-person reopening available for all students,8/12/20,"<a href=""http://images.pcmac.org/Uploads/HardeeCS/HardeeCS/Sites/News/Documents/Re-opening_PLan.pdf"" target=""_blank"">🔗</a>"
2907460,Carthage R-ix,MO,"5,062",8/20/20,Full in-person reopening available for all students,8/20/20,"<a href=""https://www.carthagetigers.org/"" target=""_blank"">🔗</a>"
1200060,Baker County School District,FL,"5,060",8/10/20,Full in-person reopening available for all students,8/10/20,"<a href=""https://www.bakerk12.org/"" target=""_blank"">🔗</a>"
1201950,Wakulla,FL,"5,057",8/18/20,Full in-person reopening available for all students,8/13/20,"<a href=""https://www.wakullaschooldistrict.org/"" target=""_blank"">🔗</a>"
2707410,Cambridge-Isanti Public School Dist,MN,"5,040",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.c-ischools.org/returntolearn"" target=""_blank"">🔗</a>"
1803870,Gary Community School Corp,IN,"5,010",8/17/20,Remote learning only,8/17/20,"<a href=""https://www.garycsc.k12.in.us/"" target=""_blank"">🔗</a>"
2503510,Chelmsford,MA,"4,961",9/2/20,Hybrid/Partial,9/2/20,"<a href=""https://www.chelmsford.k12.ma.us/cps"" target=""_blank"">🔗</a>"
2510890,Somerville,MA,"4,909",9/17/20,Remote learning only,9/18/20,"<a href=""https://somerville.k12.ma.us/back-school-2020"" target=""_blank"">🔗</a>"
5102280,Louisa Co Pblc Schs,VA,"4,906",8/20/20,Hybrid/Partial,8/13/20,"<a href=""https://www.lcps.k12.va.us/news/what_s_new/just_in__updated_faqs_pages_supt__update"" target=""_blank"">🔗</a>"
3700090,Alexander County Schools,NC,"4,865",8/18/20,Hybrid/Partial,8/17/20,"<a href=""https://www.alexander.k12.nc.us/Page/6260"" target=""_blank"">🔗</a>"
1809510,Richmond Community Schools,IN,"4,859",8/12/20,Hybrid/Partial,8/12/20,"<a href=""http://www.rcs.k12.in.us/"" target=""_blank"">🔗</a>"
4631350,Harrisburg School District 41-2,SD,"4,841",8/20/20,Full in-person reopening available for all students,8/20/20,"<a href=""https://www.harrisburgdistrict41-2.org/"" target=""_blank"">🔗</a>"
2400300,Dorchester County Public Schools,MD,"4,785",9/9/20,Remote learning only,9/8/20,"<a href=""http://www.dcps.k12.md.us/"" target=""_blank"">🔗</a>"
4214250,Methacton Sd,PA,"4,764",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.methacton.org/Page/19498"" target=""_blank"">🔗</a>"
1704920,Ball Chatham Cusd 5,IL,"4,763",8/29/20,Remote learning only,8/24/20,"<a href=""https://www.chathamschools.org/return-to-learn"" target=""_blank"">🔗</a>"
3004560,Bozeman Elementary,MT,"4,763",9/11/20,Hybrid/Partial,9/8/20,"<a href=""https://www.bsd7.org/district_news/re-entry_plan"" target=""_blank"">🔗</a>"
0603300,Atascadero Unified,CA,"4,738",8/13/20,Remote learning only,8/12/20,"<a href=""http://www.atasusd.org/"" target=""_blank"">🔗</a>"
4700152,Arlington,TN,"4,720",8/17/20,Hybrid/Partial,8/17/20,"<a href=""https://acsk-12.org/academics___athletics/support_services/reopen_a_c_s"" target=""_blank"">🔗</a>"
2733780,St. Louis Park Public School Dist.,MN,"4,714",9/11/20,Remote learning only,9/10/20,"<a href=""https://www.slpschools.org/COVID19"" target=""_blank"">🔗</a>"
2931530,Webster Groves,MO,"4,683",8/24/20,Remote learning only,8/24/20,"<a href=""https://mo02202299.schoolwires.net/Page/23304"" target=""_blank"">🔗</a>"
4400270,Cumberland,RI,"4,675",9/14/20,Remote learning only,9/14/20,"<a href=""https://cumberlandschools.org/"" target=""_blank"">🔗</a>"
2005940,Emporia,KS,"4,669",9/2/20,Hybrid/Partial,9/2/20,"<a href=""http://www.usd253.org/"" target=""_blank"">🔗</a>"
5514670,Superior School District,WI,"4,622",9/4/20,Hybrid/Partial,9/1/20,"<a href=""http://www.superior.k12.wi.us/"" target=""_blank"">🔗</a>"
2007620,Hutchinson Public Schools,KS,"4,578",8/27/20,Full in-person reopening available for all students,8/27/20,"<a href=""http://www.usd308.com/"" target=""_blank"">🔗</a>"
3615090,Huntington Union Free School District,NY,"4,537",9/9/20,Hybrid/Partial,9/9/20,"<a href=""http://www.hufsd.edu/"" target=""_blank"">🔗</a>"
0403990,J. O. Combs Unified School District (4445),AZ,"4,579",8/12/20,Remote learning only,8/3/20,"<a href=""https://www.jocombs.org/apps/pages/index.jsp?uREC_ID=908409&type=d&pREC_ID=1963944"" target=""_blank"">🔗</a>"
1922110,Ottumwa Comm School District,IA,"4,570",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.ottumwaschools.com/updates"" target=""_blank"">🔗</a>"
0606360,Buena Park Elementary,CA,"4,552",9/11/20,Remote learning only,8/11/20,"<a href=""https://www.bpsd.us/"" target=""_blank"">🔗</a>"
2513200,Woburn,MA,"4,524",9/22/20,Hybrid/Partial,9/21/20,"<a href=""https://www.woburnpublicschools.com/departments/school-nurse/coronavirus-information"" target=""_blank"">🔗</a>"
1739960,Urbana Sd 116,IL,"4,501",8/24/20,Remote learning only,8/24/20,"<a href=""https://usd116.org/"" target=""_blank"">🔗</a>"
1804050,Greenfield-Central Com Schools,IN,"4,476",8/1/20,Full in-person reopening available for all students,7/30/20,"<a href=""https://www.gcsc.k12.in.us/wp-content/uploads/2020/07/Greenfield-Central-School-Opening-Procedures-Final-7-8-2020.pdf"" target=""_blank"">🔗</a>"
3302460,Concord School District,NH,"4,440",9/9/20,Remote learning only,9/8/20,"<a href=""https://sites.google.com/sau8.org/back-to-school-fall-2020/home"" target=""_blank"">🔗</a>"
4700780,Coffee County,TN,"4,424",8/5/20,Full in-person reopening available for all students,8/5/20,"<a href=""http://www.coffeecountyschools.com/"" target=""_blank"">🔗</a>"
0512450,Siloam Springs School District,AR,"4,413",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""http://www.siloamschools.com/re-opening-of-schools-00baf7b6"" target=""_blank"">🔗</a>"
5103520,Smyth Co Pblc Schs,VA,"4,332",8/30/20,Hybrid/Partial,8/20/20,"<a href=""https://www.scsb.org/apps/news/"" target=""_blank"">🔗</a>"
2102280,Graves County,KY,"4,292",8/26/20,Full in-person reopening available for all students,8/26/20,"<a href=""https://www.graves.kyschools.us/content/20-21backtoschool"" target=""_blank"">🔗</a>"
2907120,Cape Girardeau 63,MO,"4,283",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.capetigers.com/"" target=""_blank"">🔗</a>"
3305940,Rochester School District,NH,"4,270",9/11/20,Full in-person reopening available for all students,9/9/20,"<a href=""https://rochesterschools.com/"" target=""_blank"">🔗</a>"
1716080,Galesburg CUSD 205,IL,"4,261",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.galesburg205.org/"" target=""_blank"">🔗</a>"
5000396,Champlain Valley Unified School District,VT,"4,259",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://cvsdstory.blogspot.com/"" target=""_blank"">🔗</a>"
3304410,Londonderry School District,NH,"4,254",9/11/20,Hybrid/Partial,9/8/20,"<a href=""https://www.londonderry.org/"" target=""_blank"">🔗</a>"
2614520,Flint School District Of The City Of,MI,"4,245",8/5/20,Remote learning only,8/5/20,"<a href=""https://www.flintschools.org/"" target=""_blank"">🔗</a>"
0607900,Center Joint Unified,CA,"4,229",8/5/20,Remote learning only,8/5/20,"<a href=""https://www.centerusd.org/"" target=""_blank"">🔗</a>"
1807260,Mt Vernon Community School Corp,IN,"4,226",8/17/20,Full in-person reopening available for all students,8/17/20,"<a href=""https://www.mvcsc.k12.in.us/mc/2"" target=""_blank"">🔗</a>"
3628950,Troy City School District,NY,"4,220",9/15/20,Hybrid/Partial,9/14/20,"<a href=""http://www.troycsd.org/reopening/"" target=""_blank"">🔗</a>"
4210860,Governor Mifflin Sd,PA,"4,214",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://www.governormifflinsd.org/"" target=""_blank"">🔗</a>"
5102910,Petersburg City Pblc Schs,VA,"4,194",9/9/20,Remote learning only,9/8/20,"<a href=""https://www.petersburg.k12.va.us/Page/1"" target=""_blank"">🔗</a>"
4206480,Conestoga Valley Sd,PA,"4,185",8/31/20,Full in-person reopening available for all students,8/31/20,"<a href=""https://www.conestogavalley.org/"" target=""_blank"">🔗</a>"
1001080,Milford School District,DE,"4,173",9/14/20,Remote learning only,9/14/20,"<a href=""https://milfordschooldistrict.org/"" target=""_blank"">🔗</a>"
1601590,Jerome Joint District,ID,"4,162",9/9/20,Full in-person reopening available for all students,9/8/20,"<a href=""https://www.jeromeschools.org/index.php/en/"" target=""_blank"">🔗</a>"
3411880,Nutley Public School District,NJ,"4,152",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.nutleyschools.org//"" target=""_blank"">🔗</a>"
0608010,Central Union High,CA,"4,150",8/14/20,Remote learning only,8/11/20,"<a href=""http://www.cuhsd.net/"" target=""_blank"">🔗</a>"
4827510,Lindale Isd,TX,"4,115",8/26/20,Full in-person reopening available for all students,8/19/20,"<a href=""https://lisdweb.wixsite.com/lisd-covid-19"" target=""_blank"">🔗</a>"
2803900,Scott Co,MS,"4,095",8/6/20,Hybrid/Partial,8/6/20,"<a href=""https://www.scott.k12.ms.us/apps/pages/notice"" target=""_blank"">🔗</a>"
4203510,Bethel Park Sd,PA,"4,065",9/1/20,Remote learning only,9/1/20,"<a href=""https://www.bpsd.org/"" target=""_blank"">🔗</a>"
2011490,Seaman,KS,"4,010",8/27/20,Hybrid/Partial,8/27/20,"<a href=""https://www.seamanschools.org/resource_center/enrollment_back-to-school_info/return_to_school_planning"" target=""_blank"">🔗</a>"
4701800,Henderson County,TN,"3,989",8/17/20,Hybrid/Partial,8/5/20,"<a href=""http://www.hcschoolstn.org/?showHomepage=true"" target=""_blank"">🔗</a>"
3302640,Dover School District,NH,"3,980",9/11/20,Remote learning only,9/10/20,"<a href=""https://www.dover.k12.nh.us/"" target=""_blank"">🔗</a>"
4676620,Watertown School District 14-4,SD,"3,979",8/27/20,Full in-person reopening available for all students,8/27/20,"<a href=""https://www.watertown.k12.sd.us/o/watertown-school-district"" target=""_blank"">🔗</a>"
0610440,Cypress Elementary,CA,"3,923",8/26/20,Remote learning only,8/26/20,"<a href=""https://www.cypsd.org/"" target=""_blank"">🔗</a>"
3500180,Belen Consolidated Schools,NM,"3,916",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.beleneagles.org//"" target=""_blank"">🔗</a>"
4702490,Lincoln County,TN,"3,908",8/3/20,Full in-person reopening available for all students,8/3/20,"<a href=""https://www.lcdoe.org/apps/news/article/1255627"" target=""_blank"">🔗</a>"
5505160,Germantown School District,WI,"3,896",9/1/20,Hybrid/Partial,9/1/20,"<a href=""https://www.gsdwi.org/district/return-to-school-2020-2021.cfm"" target=""_blank"">🔗</a>"
3904694,Canal Winchester Local,OH,"3,887",9/2/20,Hybrid/Partial,9/2/20,"<a href=""http://www.canalwinchesterschools.org/Default.aspx"" target=""_blank"">🔗</a>"
4209480,Exeter Township Sd,PA,"3,880",8/27/20,Remote learning only,8/27/20,"<a href=""https://www.exeter.k12.pa.us/site/default.aspx?PageType=14&DomainID=1&ModuleInstanceID=10428&PageID=1&ViewID=C83D46AC-74FE-4857-8C9A-5922A80225E2&IsMoreExpandedView=True&GroupByField=&GroupYear=0&GroupMonth=0&Tag="" target=""_blank"">🔗</a>"
1715900,Freeport Sd 145,IL,"3,871",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://www.fsd145.org/domain/1196"" target=""_blank"">🔗</a>"
5002820,Burlington School District,VT,"3,862",9/9/20,Hybrid/Partial,9/8/20,"<a href=""https://www.bsdvt.org/"" target=""_blank"">🔗</a>"
5306820,Port Angeles School District,WA,"3,852",9/3/20,Remote learning only,9/3/20,"<a href=""https://portangelesschools.org/cms/one.aspx?pageId=13470155"" target=""_blank"">🔗</a>"
3800038,Dickinson 1,ND,"3,846",9/2/20,Hybrid/Partial,9/2/20,"<a href=""http://www.dickinson.k12.nd.us/"" target=""_blank"">🔗</a>"
4218660,Penn-Trafford Sd,PA,"3,837",8/27/20,Hybrid/Partial,8/27/20,"<a href=""https://www.penntrafford.org/"" target=""_blank"">🔗</a>"
1303030,Jefferson City,GA,"3,832",7/31/20,Full in-person reopening available for all students,7/31/20,"<a href=""https://sites.google.com/jeffcityschools.org/jcs-covid-19/home"" target=""_blank"">🔗</a>"
3412420,Paramus Public School District,NJ,"3,811",9/3/20,Remote learning only,9/3/20,"<a href=""http://www.paramus.k12.nj.us/"" target=""_blank"">🔗</a>"
3904364,Brecksville-Broadview Heights City,OH,"3,801",9/10/20,Hybrid/Partial,9/8/20,"<a href=""https://www.bbhcsd.org/"" target=""_blank"">🔗</a>"
5509130,Mequon-Thiensville School District,WI,"3,771",9/1/20,Remote learning only,9/1/20,"<a href=""https://www.mtsd.k12.wi.us/"" target=""_blank"">🔗</a>"
1810710,Southern Hancock Co Com Sch Corp,IN,"3,770",8/3/20,Full in-person reopening available for all students,8/3/20,"<a href=""https://www.corp.newpal.k12.in.us/"" target=""_blank"">🔗</a>"
3904674,Big Walnut Local,OH,"3,768",8/24/20,Hybrid/Partial,8/24/20,"<a href=""http://www.bwls.net/Reopening2021.aspx"" target=""_blank"">🔗</a>"
