NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
4205400,Central Dauphin Sd,PA,"11,996",8/24/20,Hybrid/Partial,8/24/20,"<a href=""https://www.cdschools.org/"" target=""_blank"">🔗</a>"
2008400,Lawrence,KS,"11,985",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.usd497.org/"" target=""_blank"">🔗</a>"
2722950,Mounds View Public School District,MN,"11,957",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.moundsviewschools.org/"" target=""_blank"">🔗</a>"
2742160,Wayzata Public School District,MN,"11,948",9/15/20,Hybrid/Partial,9/14/20,"<a href=""https://www.wayzataschools.org/wayzatalearns"" target=""_blank"">🔗</a>"
4900720,Ogden City District,UT,"11,782",8/27/20,Full in-person reopening available for all students,8/26/20,"<a href=""https://www.ogdensd.org/community/keeping-ogden-healthy"" target=""_blank"">🔗</a>"
1730450,Township Hsd 211,IL,"11,739",8/13/20,Remote learning only,8/13/20,"<a href=""https://adc.d211.org/Page/7816"" target=""_blank"">🔗</a>"
0804530,Harrison School District NO. 2,CO,"11,735",8/22/20,Hybrid/Partial,8/17/20,"<a href=""https://www.hsd2.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=38&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=11405&PageID=1"" target=""_blank"">🔗</a>"
3406540,Hamilton Township Public School District,NJ,"11,725",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.htsdnj.org/"" target=""_blank"">🔗</a>"
5400930,Monongalia County Schools,WV,"11,679",9/8/20,Remote learning only,9/8/20,"<a href=""https://boe.mono.k12.wv.us/Content2/1652"" target=""_blank"">🔗</a>"
3806780,Fargo 1,ND,"11,514",9/2/20,Hybrid/Partial,9/2/20,"<a href=""https://www.fargo.k12.nd.us/Page/2520"" target=""_blank"">🔗</a>"
0901020,Danbury School District,CT,"11,507",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.danbury.k12.ct.us/"" target=""_blank"">🔗</a>"
3003870,Billings Elem,MT,"11,453",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.billingsschools.org/"" target=""_blank"">🔗</a>"
4814430,Clint Isd,TX,"11,388",7/27/20,Remote learning only,7/27/20,"<a href=""https://www.clintweb.net/Page/6041"" target=""_blank"">🔗</a>"
5504050,Eau Claire Area School District,WI,"11,355",9/1/20,Hybrid/Partial,9/1/20,"<a href=""http://www.ecasd.us/District/About/2020-2021-Back-to-School"" target=""_blank"">🔗</a>"
2912300,Fox C-6,MO,"11,382",8/27/20,Hybrid/Partial,8/27/20,"<a href=""https://www.fox.k12.mo.us/"" target=""_blank"">🔗</a>"
1000080,Appoquinimink School District,DE,"11,317",9/8/20,Remote learning only,9/8/20,"<a href=""https://apposchooldistrict.com/index.jsp#"" target=""_blank"">🔗</a>"
3304980,Nashua School District,NH,"11,229",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.nashua.edu/"" target=""_blank"">🔗</a>"
